dsr1,dr1r2,Pr2,msr1,msr2,mr1d,mr2d,mr1r2,zeta,minPr1,minDsr2
0.99539,0.53246,0.29735,1,1,1,2,1,0.031023,0.001,0.059
0.089892,0.3566,0.77724,1,1,2,3,2,0.45257,0.9998,0.001
0.74631,0.30724,0.048447,2,1,3,2,1,0.33396,0.001,0.143
0.28798,0.78477,0.55667,2,2,3,3,3,0.19826,0.6775,0.036
0.10481,0.38952,0.54954,1,3,2,2,3,0.24261,0.9998,0.086
0.088527,0.85885,0.94301,3,3,3,1,1,0.34186,0.0384,0.731
0.32881,0.75767,0.74913,1,3,1,1,2,0.29159,0.9998,0.293
0.086235,0.55651,0.3692,3,1,3,3,3,0.34251,0.9734,0.001
0.77193,0.44397,0.38827,2,3,2,1,1,0.27589,0.0032,0.876
0.10061,0.50585,0.23737,1,2,2,1,3,0.26544,0.0516,0.441
0.29157,0.72247,0.96442,1,2,1,1,3,0.21624,0.9998,0.199
0.93376,0.43122,0.26618,3,3,2,2,1,0.39892,0.001,0.6
0.67329,0.6007,0.45174,2,3,2,1,1,0.30493,0.0087,0.845
0.13015,0.36465,0.0078203,1,1,3,3,1,0.21155,0.0153,0.162
0.1265,0.39401,0.098594,2,3,2,1,2,0.071014,0.0527,0.747
0.25104,0.92505,0.70322,1,1,1,1,1,0.27787,0.9998,0.046
0.55779,0.5194,0.1662,1,1,1,3,3,0.31125,0.9998,0.001
0.6841,0.58167,0.98284,3,1,1,2,1,0.20109,0.9998,0.001
0.87111,0.54554,0.68554,2,1,2,1,3,0.14707,0.001,0.296
0.45259,0.59585,0.35961,2,3,2,2,1,0.27916,0.232,0.203
0.29019,0.52226,0.65369,3,2,2,1,1,0.47847,0.0406,0.312
0.74065,0.82058,0.10592,3,2,1,3,3,0.34078,0.9998,0.066
0.16357,0.76619,0.89439,2,1,1,3,1,0.25828,0.9998,0.001
0.036563,0.86644,0.74862,3,1,3,2,3,0.060094,0.5114,0.008
0.18074,0.47877,0.020536,2,1,2,2,2,0.46184,0.0472,0.1
0.57739,0.60802,0.25761,2,3,1,3,3,0.37597,0.9998,0.077
0.64206,0.59333,0.39076,1,1,3,3,3,0.40807,0.1176,0.001
0.63566,0.96563,0.44396,1,3,3,3,2,0.030009,0.1187,0.372
0.65245,0.72349,0.38725,3,2,2,3,1,0.071094,0.9998,0.049
0.84156,0.81396,0.57103,1,2,1,3,2,0.088428,0.9998,0.043
0.0875,0.74808,0.18062,3,1,3,1,2,0.022526,0.0252,0.444
0.02165,0.9374,0.80056,3,2,2,2,2,0.37292,0.9998,0.071
0.27507,0.47404,0.45164,3,2,2,2,2,0.11386,0.7633,0.074
0.80209,0.9924,0.066946,3,3,1,2,1,0.4697,0.2947,0.349
0.899,0.73816,0.13787,1,3,3,2,3,0.1089,0.001,0.786
0.35446,0.58744,0.98435,1,1,1,2,3,0.47279,0.9998,0.001
0.24417,0.50686,0.68018,3,3,3,2,2,0.26392,0.1121,0.21
0.58357,0.65827,0.082593,2,2,3,2,2,0.35979,0.0076,0.449
0.45469,0.5894,0.21773,3,2,3,2,3,0.062827,0.0263,0.386
0.84321,0.94563,0.77095,1,3,3,3,1,0.02133,0.0252,0.388
0.67303,0.63424,0.62372,2,3,3,1,1,0.11822,0.0065,0.9
0.18223,0.36937,0.48976,1,3,3,3,1,0.096623,0.8172,0.059
0.31194,0.42529,0.33896,3,1,1,2,3,0.10507,0.9998,0.003
0.054617,0.6509,0.43172,2,3,2,1,2,0.49878,0.0835,0.482
0.92736,0.94225,0.71357,3,2,3,1,2,0.30917,0.001,0.847
0.83315,0.5788,0.74982,2,3,1,3,2,0.41761,0.9998,0.046
0.61947,0.55245,0.75651,1,2,3,2,1,0.20695,0.0153,0.208
0.73907,0.96792,0.031923,2,3,3,1,3,0.17843,0.0065,0.9
0.59061,0.76231,0.047555,2,1,1,3,2,0.17439,0.9998,0.009
0.73105,0.39643,0.83672,2,1,3,3,1,0.069301,0.0736,0.001
0.87705,0.5472,0.44944,2,2,3,2,2,0.48177,0.001,0.355
0.67511,0.55272,0.62028,1,3,1,3,2,0.40558,0.9998,0.048
0.40349,0.38541,0.26844,1,1,3,2,1,0.12892,0.0505,0.014
0.094278,0.95103,0.39902,1,1,2,1,3,0.023701,0.1033,0.323
0.89363,0.33835,0.30366,2,3,3,2,3,0.023096,0.001,0.731
0.070684,0.94592,0.80037,1,3,3,3,2,0.14297,0.9998,0.115
0.47062,0.6925,0.26909,2,3,3,3,2,0.37451,0.1187,0.168
0.36246,0.85168,0.7803,2,2,1,1,2,0.33426,0.9998,0.202
0.9809,0.50063,0.80082,1,1,2,1,3,0.44806,0.001,0.228
0.57676,0.3181,0.44653,2,3,3,2,3,0.32315,0.0153,0.265
0.37253,0.71523,0.87255,2,2,3,3,3,0.46675,0.9239,0.015
0.66693,0.95361,0.81095,3,1,2,1,2,0.24227,0.0076,0.254
0.38888,0.61832,0.24669,3,2,3,3,3,0.39221,0.1737,0.054
0.89971,0.61528,0.20567,3,3,2,2,1,0.44983,0.0032,0.596
0.12281,0.58512,0.27529,3,3,1,3,2,0.35833,0.9998,0.071
0.69481,0.88406,0.60963,1,3,3,2,2,0.28737,0.0142,0.545
0.018613,0.77234,0.43851,1,2,3,3,3,0.21891,0.9998,0.034
0.37569,0.68259,0.56192,1,3,1,1,2,0.19791,0.925,0.325
0.40008,0.88231,0.13434,2,2,2,3,3,0.030233,0.9998,0.148
0.53991,0.36676,0.14651,1,1,1,1,1,0.31557,0.4289,0.036
0.51546,0.53148,0.43,3,3,2,3,2,0.2459,0.9998,0.064
0.39453,0.72943,0.81864,1,3,1,2,3,0.44312,0.9998,0.117
0.50384,0.72897,0.81942,3,1,1,3,2,0.26594,0.9998,0.001
0.69539,0.80412,0.3469,1,2,2,3,2,0.2585,0.6874,0.042
0.83627,0.81197,0.36003,2,1,2,3,2,0.22711,0.4267,0.001
0.94521,0.84896,0.70557,2,3,3,2,3,0.054667,0.001,0.685
0.83419,0.31095,0.86371,2,2,2,1,1,0.039035,0.0021,0.785
0.67117,0.71971,0.055976,3,2,1,2,1,0.028172,0.8601,0.325
0.52013,0.90471,0.097698,1,1,2,3,2,0.45403,0.9998,0.003
0.76668,0.8941,0.91682,1,2,1,2,1,0.49348,0.9998,0.053
0.76289,0.35807,0.6616,2,1,1,2,2,0.25849,0.9998,0.001
0.65591,0.61636,0.8397,1,3,2,2,3,0.26631,0.1385,0.233
0.86689,0.58474,0.11262,2,3,2,1,2,0.22192,0.0032,0.9
0.36045,0.39818,0.26013,1,2,3,2,2,0.043408,0.0384,0.278
0.49507,0.79449,0.24357,2,1,1,2,1,0.39254,0.9998,0.006
0.18918,0.39974,0.26808,1,2,1,1,1,0.087446,0.9998,0.175
